ID Factura,Nombre Cliente,Genero,Pais,Precio USD,Unidades Vendidas,Fecha Venta,Familia de Productos
INV2023110001,Brandy Moore,Femenino,Argentina,396.33,4,2023-11-01,Tablets
INV2023110002,Gina Bowen,Femenino,España,190.39,6,2023-11-01,Televisores
INV2023110003,Jeffrey Barber,No especificado,Mexico,690.6,1,2023-11-01,Consolas
INV2023110004,Andrea Adams,Masculino,Francia,55.72,10,2023-11-01,Desktops
INV2023110005,Lauren Rodriguez,No especificado,Alemania,249.61,8,2023-11-01,Desktops
INV2023110006,Regina Keller,Masculino,Canada,764.36,8,2023-11-01,Consolas
INV2023110007,Jessica Carter,Femenino,Italia,910.56,7,2023-11-01,Cámaras
INV2023110008,Cathy Chapman,Masculino,USA,768.66,10,2023-11-01,Consolas
INV2023110009,Sarah Terry,Masculino,Canada,593.8,8,2023-11-01,Cámaras
INV2023110010,Courtney Newman,No especificado,Francia,271.88,5,2023-11-01,Laptops
INV2023110011,Shawna Williams,No especificado,Mexico,999.45,4,2023-11-01,Consolas
INV2023110012,Robert Johnson,Masculino,Argentina,550.82,7,2023-11-01,Desktops
INV2023110013,Rebecca Williams,No especificado,Italia,389.4,10,2023-11-01,Smartphones
INV2023110014,Aaron Hart,Masculino,Italia,122.27,4,2023-11-01,Desktops
INV2023110015,Stephanie Thomas PhD,Masculino,Colombia,755.67,2,2023-11-01,Tablets
INV2023110016,Michael Jones,Femenino,Italia,852.56,10,2023-11-01,Desktops
INV2023110017,Wayne Warner,Femenino,España,98.02,8,2023-11-01,Smartphones
INV2023110018,Victoria Hernandez,Masculino,Brasil,761.09,6,2023-11-01,Tablets
INV2023110019,John Webster,No especificado,España,964.29,4,2023-11-01,Cámaras
INV2023110020,Dr. Beth Cooper,No especificado,Colombia,352.76,3,2023-11-01,Smartphones
INV2023110021,Randall Ball,Masculino,Mexico,258.59,6,2023-11-01,Smartphones
INV2023110022,Rita Merritt,Masculino,Canada,422.62,7,2023-11-01,Desktops
INV2023110023,Patrick Howell,Masculino,España,670.64,4,2023-11-01,Tablets
INV2023110024,Carlos Nunez,No especificado,Colombia,143.84,8,2023-11-01,Consolas
INV2023110025,Calvin Scott,Masculino,Canada,918.14,3,2023-11-01,Tablets
INV2023110026,Kimberly Jenkins,Masculino,Argentina,87.11,8,2023-11-01,Cámaras
INV2023110027,Anna Yates,No especificado,Italia,102.57,7,2023-11-01,Desktops
INV2023110028,Alexander Gonzalez,No especificado,Argentina,457.49,8,2023-11-01,Consolas
INV2023110029,Angela Cortez,No especificado,España,62.32,10,2023-11-01,Laptops
INV2023110030,Desiree Foster,Masculino,España,463.21,10,2023-11-01,Laptops
INV2023110031,Matthew Williams,Femenino,España,754.4,3,2023-11-01,Tablets
INV2023110032,Miranda Carlson,No especificado,Alemania,850.79,4,2023-11-01,Cámaras
INV2023110033,Xavier Clements,Masculino,Argentina,220.46,10,2023-11-01,Desktops
INV2023110034,Andrea Braun,Femenino,Canada,824.95,7,2023-11-01,Smartphones
INV2023110035,Kathleen Gutierrez,Masculino,Colombia,994.85,10,2023-11-01,Televisores
INV2023110036,Alex Edwards,No especificado,Argentina,928.99,8,2023-11-01,Laptops
INV2023110037,Michael Smith,No especificado,Mexico,422.77,9,2023-11-01,Laptops
INV2023110038,Amy Vaughn,Femenino,Italia,950.92,10,2023-11-01,Consolas
INV2023110039,Kelly Wells,No especificado,Argentina,898.29,1,2023-11-01,Consolas
INV2023110040,Roger Harris,No especificado,Argentina,680.42,3,2023-11-01,Televisores
INV2023110041,Teresa Hill,Femenino,Brasil,555.14,7,2023-11-01,Smartphones
INV2023110042,Heidi Williams,Masculino,Brasil,103.71,5,2023-11-01,Desktops
INV2023110043,Connie Williams,Masculino,Francia,535.4,1,2023-11-01,Smartphones
INV2023110044,Sarah Norton,Femenino,Alemania,66.19,9,2023-11-01,Tablets
INV2023110045,Todd Ford,No especificado,Brasil,312.41,3,2023-11-01,Laptops
