ID Factura,Nombre Cliente,Genero,Pais,Precio USD,Unidades Vendidas,Fecha Venta,Familia de Productos
INV2023040001,Amanda Nguyen,No especificado,Canada,435.91,3,2023-04-01,Consolas
INV2023040002,David Williams,No especificado,Canada,321.83,5,2023-04-01,Consolas
INV2023040003,Leah Stewart,Femenino,Italia,853.77,10,2023-04-01,Laptops
INV2023040004,Mary Friedman,No especificado,Brasil,936.33,9,2023-04-01,Smartphones
INV2023040005,Aaron Briggs,Femenino,España,822.23,10,2023-04-01,Desktops
INV2023040006,William Bowman,Femenino,Canada,480.09,6,2023-04-01,Tablets
INV2023040007,Adam Owen,Masculino,Colombia,509.77,1,2023-04-01,Tablets
INV2023040008,Valerie Kemp,No especificado,Brasil,227.2,6,2023-04-01,Televisores
INV2023040009,Lucas Porter,Masculino,Argentina,124.63,5,2023-04-01,Tablets
INV2023040010,Lisa Wagner,No especificado,Mexico,183.91,8,2023-04-01,Desktops
INV2023040011,Jeffery Andersen,No especificado,España,105.84,1,2023-04-01,Laptops
INV2023040012,Henry Alvarado,Masculino,USA,925.86,5,2023-04-01,Tablets
INV2023040013,Norman Mitchell,Femenino,Argentina,874.48,4,2023-04-01,Laptops
INV2023040014,Brenda Graham,Femenino,Alemania,347.22,7,2023-04-01,Laptops
INV2023040015,Wendy Small,No especificado,Alemania,982.0,5,2023-04-01,Smartphones
INV2023040016,Casey Johnson,Femenino,Colombia,318.43,2,2023-04-01,Laptops
INV2023040017,Connor Campbell,Masculino,Francia,678.45,2,2023-04-01,Cámaras
INV2023040018,Samantha Frye,Femenino,Mexico,109.44,4,2023-04-01,Televisores
INV2023040019,Rose Harrison,No especificado,Canada,667.86,2,2023-04-01,Laptops
INV2023040020,Wendy Perez,No especificado,Italia,971.8,3,2023-04-01,Laptops
INV2023040021,Felicia Mcdowell,Femenino,Francia,77.79,2,2023-04-01,Smartphones
INV2023040022,Heather Jimenez,Masculino,Brasil,288.99,8,2023-04-01,Tablets
INV2023040023,Stephen Lee,No especificado,Mexico,863.39,7,2023-04-01,Desktops
INV2023040024,Charles Smith,Masculino,Canada,195.6,4,2023-04-01,Consolas
INV2023040025,James Kaiser,Femenino,Colombia,195.65,8,2023-04-01,Desktops
INV2023040026,Leah Watson,Masculino,USA,845.87,6,2023-04-01,Televisores
INV2023040027,Heather Nolan,No especificado,Alemania,180.07,2,2023-04-01,Cámaras
