ID Factura,Nombre Cliente,Genero,Pais,Precio USD,Unidades Vendidas,Fecha Venta,Familia de Productos
INV2024040001,Karen Chandler,Femenino,Alemania,110.79,1,2024-04-01,Laptops
INV2024040002,Tracy Melton,Masculino,Canada,778.52,5,2024-04-01,Consolas
INV2024040003,Benjamin Goodman,Masculino,USA,560.17,6,2024-04-01,Desktops
INV2024040004,Robin Robertson,Femenino,Colombia,259.78,1,2024-04-01,Smartphones
INV2024040005,Katherine Nguyen,Masculino,Canada,418.92,6,2024-04-01,Smartphones
INV2024040006,Melinda Hicks,Femenino,Francia,858.89,5,2024-04-01,Cámaras
INV2024040007,Alyssa Miller,Femenino,Colombia,261.36,8,2024-04-01,Televisores
INV2024040008,Holly Riley,No especificado,España,641.43,10,2024-04-01,Tablets
INV2024040009,Mr. Danny Smith Jr.,Femenino,Brasil,322.02,10,2024-04-01,Laptops
INV2024040010,Jeffrey Harding,Masculino,Argentina,291.93,4,2024-04-01,Smartphones
INV2024040011,Caroline Duffy,Femenino,Mexico,286.41,9,2024-04-01,Televisores
INV2024040012,Tiffany Allen,No especificado,Alemania,981.15,1,2024-04-01,Desktops
INV2024040013,Jeremy Dixon,Femenino,USA,946.99,8,2024-04-01,Consolas
INV2024040014,Christopher Davis,Masculino,Italia,443.75,8,2024-04-01,Laptops
INV2024040015,Samuel Rowe,No especificado,Canada,168.28,10,2024-04-01,Tablets
INV2024040016,Diane Smith,Femenino,Brasil,634.15,6,2024-04-01,Desktops
INV2024040017,Colin Moreno,No especificado,Brasil,899.91,9,2024-04-01,Tablets
INV2024040018,Bryan Brown,Masculino,Alemania,56.52,7,2024-04-01,Desktops
INV2024040019,Rebecca Davenport,No especificado,España,181.95,1,2024-04-01,Consolas
INV2024040020,Dean Walker,No especificado,Alemania,467.84,2,2024-04-01,Consolas
INV2024040021,Eileen Yates,Femenino,Colombia,222.95,9,2024-04-01,Televisores
INV2024040022,George Turner,Femenino,Francia,662.78,8,2024-04-01,Tablets
INV2024040023,Samuel Peterson,No especificado,Francia,167.0,4,2024-04-01,Televisores
INV2024040024,Hannah Mcclure,Masculino,Canada,614.7,8,2024-04-01,Smartphones
INV2024040025,Michael Conrad,Femenino,Argentina,747.66,2,2024-04-01,Desktops
INV2024040026,Kimberly Simpson,Masculino,Brasil,52.09,10,2024-04-01,Desktops
INV2024040027,Alicia Le,Masculino,Canada,544.67,9,2024-04-01,Smartphones
INV2024040028,Joseph Miller,Femenino,Argentina,863.16,1,2024-04-01,Televisores
INV2024040029,Jacqueline Martin,Femenino,Canada,838.05,6,2024-04-01,Desktops
INV2024040030,Justin Lynn,Masculino,Colombia,471.65,5,2024-04-01,Cámaras
INV2024040031,Debra Simpson,Masculino,Colombia,332.52,3,2024-04-01,Laptops
INV2024040032,Laura Vazquez,Masculino,España,402.3,9,2024-04-01,Consolas
INV2024040033,Christopher Powers,No especificado,Alemania,842.98,9,2024-04-01,Smartphones
INV2024040034,Vanessa Ruiz,No especificado,Canada,839.52,10,2024-04-01,Tablets
INV2024040035,Jeremy Vargas,Masculino,Brasil,542.15,6,2024-04-01,Desktops
INV2024040036,Thomas Sheppard,No especificado,Canada,437.18,4,2024-04-01,Desktops
INV2024040037,Michele Smith,Masculino,Italia,933.36,5,2024-04-01,Televisores
INV2024040038,Joshua Wright,Femenino,Argentina,927.59,4,2024-04-01,Consolas
INV2024040039,Hector Walton,Masculino,USA,50.84,7,2024-04-01,Laptops
INV2024040040,Jason Gonzales,No especificado,Argentina,407.3,3,2024-04-01,Laptops
INV2024040041,Evelyn Hunter,Femenino,Alemania,210.15,8,2024-04-01,Desktops
INV2024040042,Joyce Mcbride,Masculino,Canada,371.7,7,2024-04-01,Tablets
INV2024040043,Michael Marshall,Femenino,Italia,722.38,2,2024-04-01,Smartphones
INV2024040044,Alicia Williams,Masculino,España,907.33,3,2024-04-01,Cámaras
INV2024040045,Shelley Johnson,Femenino,Francia,418.52,6,2024-04-01,Televisores
INV2024040046,Jacqueline Jacobs MD,Femenino,Colombia,829.95,6,2024-04-01,Smartphones
INV2024040047,Leah Medina,Masculino,Argentina,448.62,5,2024-04-01,Laptops
INV2024040048,Christopher Chan,No especificado,Argentina,885.84,8,2024-04-01,Televisores
INV2024040049,Cody Osborn,Femenino,Brasil,333.1,7,2024-04-01,Tablets
INV2024040050,John Morris,Masculino,Italia,881.97,1,2024-04-01,Desktops
INV2024040051,Andrew Caldwell,Masculino,Argentina,494.31,9,2024-04-01,Televisores
INV2024040052,Jeffrey Gray,Femenino,España,64.79,5,2024-04-01,Desktops
INV2024040053,Jared Blair,Femenino,USA,779.99,1,2024-04-01,Tablets
INV2024040054,Sandra Fisher,No especificado,Canada,127.79,7,2024-04-01,Televisores
INV2024040055,Sherry Bird,Masculino,Mexico,325.84,10,2024-04-01,Laptops
INV2024040056,Misty Ramirez,No especificado,USA,510.83,6,2024-04-01,Consolas
INV2024040057,Stephanie French,Masculino,USA,133.24,1,2024-04-01,Televisores
INV2024040058,William Johnson,Masculino,España,78.36,5,2024-04-01,Smartphones
INV2024040059,John Mcpherson,Femenino,Mexico,491.64,8,2024-04-01,Tablets
INV2024040060,Jay Reid,No especificado,Francia,226.58,7,2024-04-01,Laptops
INV2024040061,Jacob Walters,No especificado,Canada,224.21,5,2024-04-01,Tablets
INV2024040062,Michelle Bond,Masculino,Alemania,133.04,3,2024-04-01,Consolas
INV2024040063,Miss Christy Martinez DDS,Femenino,USA,709.33,10,2024-04-01,Smartphones
INV2024040064,Elizabeth Garcia,Femenino,Francia,133.45,6,2024-04-01,Desktops
INV2024040065,Alyssa Figueroa,Femenino,Colombia,973.58,1,2024-04-01,Laptops
INV2024040066,Jessica Hayes,No especificado,Argentina,742.82,9,2024-04-01,Desktops
INV2024040067,Lauren Sutton,Masculino,Francia,953.06,1,2024-04-01,Desktops
INV2024040068,Terry Lee,Femenino,Italia,491.67,1,2024-04-01,Televisores
INV2024040069,Amber Woodward,Femenino,Mexico,377.56,5,2024-04-01,Televisores
INV2024040070,Ebony Thomas,Femenino,España,800.71,5,2024-04-01,Tablets
INV2024040071,Mark Long,No especificado,Francia,131.05,7,2024-04-01,Cámaras
INV2024040072,David Miller,Masculino,Colombia,834.29,6,2024-04-01,Tablets
INV2024040073,Justin Bradley,Masculino,Brasil,402.68,7,2024-04-01,Tablets
INV2024040074,John Perez,Masculino,Brasil,632.83,10,2024-04-01,Desktops
INV2024040075,Brenda Lawrence,Masculino,Colombia,988.03,9,2024-04-01,Laptops
INV2024040076,Jack Foley,Femenino,USA,73.54,7,2024-04-01,Consolas
INV2024040077,Diana Shaw,Femenino,Colombia,650.77,4,2024-04-01,Smartphones
INV2024040078,Shirley Nichols,Masculino,Francia,514.56,9,2024-04-01,Desktops
INV2024040079,Jay Adams,Masculino,España,575.79,7,2024-04-01,Tablets
INV2024040080,Sarah Washington,No especificado,USA,427.19,8,2024-04-01,Consolas
INV2024040081,Tracey Thompson,Femenino,Italia,732.16,3,2024-04-01,Smartphones
INV2024040082,Jaime Cervantes,No especificado,Francia,525.83,5,2024-04-01,Consolas
INV2024040083,Catherine Valdez,Masculino,Brasil,227.79,6,2024-04-01,Smartphones
INV2024040084,Sarah Rogers,Femenino,USA,189.35,4,2024-04-01,Desktops
INV2024040085,Mrs. Regina Reyes,Femenino,Italia,960.23,7,2024-04-01,Tablets
INV2024040086,Alexander Black,Masculino,España,919.23,7,2024-04-01,Consolas
INV2024040087,Daniel Williams,No especificado,USA,447.96,10,2024-04-01,Cámaras
INV2024040088,Robert Burke,Masculino,Italia,926.28,2,2024-04-01,Televisores
INV2024040089,Tina Morales,Femenino,Francia,721.86,4,2024-04-01,Consolas
INV2024040090,Anne Gonzales,No especificado,Canada,475.48,6,2024-04-01,Tablets
INV2024040091,Nancy Johns,Femenino,Colombia,949.47,2,2024-04-01,Consolas
INV2024040092,Gary Ray,Masculino,España,461.85,3,2024-04-01,Tablets
INV2024040093,Phillip Lowery,No especificado,USA,51.63,9,2024-04-01,Cámaras
INV2024040094,Andrew Jefferson,No especificado,Alemania,513.07,6,2024-04-01,Tablets
INV2024040095,Christopher Miller MD,No especificado,Brasil,870.44,2,2024-04-01,Smartphones
INV2024040096,Brittany Perkins,No especificado,Argentina,632.25,4,2024-04-01,Tablets
INV2024040097,Tony Kramer,Masculino,Colombia,422.12,3,2024-04-01,Cámaras
INV2024040098,Gregory Barber,No especificado,Colombia,435.81,2,2024-04-01,Desktops
