ID Factura,Nombre Cliente,Genero,Pais,Precio USD,Unidades Vendidas,Fecha Venta,Familia de Productos
INV2023090001,Christine Owens,Masculino,Alemania,787.35,7,2023-09-01,Televisores
INV2023090002,Dustin Ramsey,Masculino,Francia,53.9,10,2023-09-01,Tablets
INV2023090003,Malik Rogers,No especificado,Italia,536.77,4,2023-09-01,Consolas
INV2023090004,Jeffrey Stein,Masculino,Canada,221.66,6,2023-09-01,Desktops
INV2023090005,Nicole Scott,Masculino,Canada,418.88,5,2023-09-01,Smartphones
INV2023090006,Kyle Baker,No especificado,Brasil,106.67,3,2023-09-01,Cámaras
INV2023090007,Heather Thomas,Masculino,Italia,963.25,1,2023-09-01,Consolas
INV2023090008,Leah Pierce,Masculino,Alemania,365.99,8,2023-09-01,Televisores
INV2023090009,Joshua Davenport,No especificado,Mexico,846.32,8,2023-09-01,Televisores
INV2023090010,Daniel Howard,No especificado,Brasil,924.69,3,2023-09-01,Tablets
INV2023090011,Lee Bowman,Femenino,Alemania,134.74,1,2023-09-01,Smartphones
INV2023090012,Jennifer Wilson,Femenino,Italia,129.28,7,2023-09-01,Tablets
INV2023090013,Rachael Fernandez,Femenino,USA,568.72,5,2023-09-01,Tablets
INV2023090014,Sophia Thompson,No especificado,Colombia,837.8,10,2023-09-01,Desktops
INV2023090015,William Craig,No especificado,Italia,461.2,5,2023-09-01,Televisores
INV2023090016,Bryan Colon,No especificado,Francia,578.69,4,2023-09-01,Laptops
INV2023090017,Kenneth Warren,No especificado,Francia,283.72,3,2023-09-01,Tablets
INV2023090018,Michelle Jacobs,Masculino,Canada,570.68,7,2023-09-01,Desktops
INV2023090019,Scott Cummings,Femenino,Colombia,515.26,9,2023-09-01,Smartphones
INV2023090020,Sara Smith,Masculino,Italia,108.72,7,2023-09-01,Consolas
INV2023090021,Jared King,Femenino,Colombia,280.66,8,2023-09-01,Televisores
INV2023090022,Scott Humphrey,No especificado,España,269.54,10,2023-09-01,Desktops
INV2023090023,Jo Smith,Masculino,Canada,764.57,10,2023-09-01,Smartphones
INV2023090024,Samuel Taylor,Femenino,Italia,977.54,6,2023-09-01,Laptops
INV2023090025,Katie Freeman,Femenino,Alemania,499.33,7,2023-09-01,Smartphones
INV2023090026,Peter Colon,Femenino,Canada,188.32,6,2023-09-01,Cámaras
INV2023090027,Cassie Hoffman,Masculino,Francia,821.72,3,2023-09-01,Desktops
INV2023090028,Terry Quinn,No especificado,España,575.0,1,2023-09-01,Laptops
